============================================================
Programa 2 - Cobertura de 14 elementos
Universo U = {1..25}, candidatos S15, alvos S14
Lower bound LP: |SB| >= 297,160
============================================================

[1/3] Gerando S15 (C(25,15) = 3,268,760 elementos)...
      OK em 9.5s | memoria: 13.1 MB

[2/3] Gerando S14 (C(25,14) = 4,457,400 elementos)...
      OK em 12.2s | memoria: 17.8 MB

[3/3] Executando Greedy Set Cover (p=14)...

[Greedy] p=14 | |S15|=3,268,760 | |Sp|=4,457,400
         Cobertura por X: C(15,14)=15
         Extensoes por Y: C(11,1)=11
         Lower bound |SB| >= 297,160

  Construindo indices... OK (5.1s)
  Estrategia: heap lazy (150 updates/iter estimados)
  iter= 19900 | |SB|=19,900 | cobertos=  6.7% | novos=   15 | loop=15.0s | ETA=210s
  iter= 20000 | |SB|=20,000 | cobertos=  6.7% | novos=   15 | loop=15.1s | ETA=210s
  iter= 20100 | |SB|=20,100 | cobertos=  6.8% | novos=   15 | loop=15.2s | ETA=209s
  iter= 20200 | |SB|=20,200 | cobertos=  6.8% | novos=   15 | loop=15.3s | ETA=209s
  iter= 20300 | |SB|=20,300 | cobertos=  6.8% | novos=   15 | loop=15.3s | ETA=209s
  iter= 20400 | |SB|=20,400 | cobertos=  6.9% | novos=   15 | loop=15.4s | ETA=209s
  iter= 20500 | |SB|=20,500 | cobertos=  6.9% | novos=   15 | loop=15.4s | ETA=208s
  iter= 20600 | |SB|=20,600 | cobertos=  6.9% | novos=   15 | loop=15.5s | ETA=208s
  iter= 20700 | |SB|=20,700 | cobertos=  7.0% | novos=   15 | loop=15.6s | ETA=208s
  iter= 20800 | |SB|=20,800 | cobertos=  7.0% | novos=   15 | loop=15.6s | ETA=208s
  iter= 20900 | |SB|=20,900 | cobertos=  7.0% | novos=   15 | loop=15.7s | ETA=208s
  iter= 21000 | |SB|=21,000 | cobertos=  7.1% | novos=   15 | loop=15.8s | ETA=207s
  iter= 21100 | |SB|=21,100 | cobertos=  7.1% | novos=   15 | loop=15.8s | ETA=207s
  iter= 21200 | |SB|=21,200 | cobertos=  7.1% | novos=   15 | loop=15.9s | ETA=207s
  iter= 21300 | |SB|=21,300 | cobertos=  7.2% | novos=   15 | loop=15.9s | ETA=206s
